name,artist_to,popularity
Ed Sheeran,Niall Horan,92
Ed Sheeran,Lewis Capaldi,92
Ed Sheeran,Alessia Cara,92
Ed Sheeran,James Bay,92
Ed Sheeran,DNCE,92
Ed Sheeran,Camila Cabello,92
Ed Sheeran,Meghan Trainor,92
Ed Sheeran,ZAYN,92
Ed Sheeran,Justin Bieber,92
Ed Sheeran,JP Cooper,92
Ed Sheeran,Why Don't We,92
Khalid,Bazzi,92
Khalid,THEY.,92
Khalid,Sabrina Claudio,92
Khalid,Bryson Tiller,92
Khalid,Troye Sivan,92
Khalid,Ella Mai,92
Khalid,Kehlani,92
Khalid,Kiana Ledé,92
Khalid,H.E.R.,92
Khalid,Roy Woods,92
Khalid,benny blanco,92
Khalid,Alina Baraz,92
Khalid,Summer Walker,92
Khalid,Jessie Reyez,92
Khalid,Dominic Fike,92
Khalid,Daniel Caesar,92
Khalid,Marc E. Bassy,92
Khalid,Jaden,92
Khalid,Jorja Smith,92
Khalid,Julia Michaels,92
Pop Smoke,Fivio Foreign,92
Pop Smoke,PnB Rock,92
Pop Smoke,Lil Tjay,92
Pop Smoke,Lil Baby,92
Pop Smoke,Takeoff,92
Pop Smoke,Roddy Ricch,92
Pop Smoke,Huncho Jack,92
Pop Smoke,Metro Boomin,92
Pop Smoke,Lil Tecca,92
Pop Smoke,21 Savage,92
Pop Smoke,Polo G,92
Pop Smoke,NAV,92
Pop Smoke,Kodak Black,92
Pop Smoke,Sheff G,92
Pop Smoke,Gunna,92
Pop Smoke,Tory Lanez,92
Pop Smoke,CJ,92
Pop Smoke,Blueface,92
Pop Smoke,Offset,92
Pop Smoke,A Boogie Wit da Hoodie,92
Rihanna,Nicki Minaj,92
Rihanna,Beyoncé,92
Rihanna,Jennifer Lopez,92
Rihanna,The Pussycat Dolls,92
Rihanna,Kesha,92
Rihanna,Fergie,92
Rihanna,Justin Timberlake,92
Rihanna,Jessie J,92
Rihanna,Nelly Furtado,92
Rihanna,Iggy Azalea,92
Rihanna,Destiny's Child,92
Rihanna,Demi Lovato,92
Rihanna,Britney Spears,92
Rihanna,Tinashe,92
Rihanna,Ciara,92
Rihanna,Gwen Stefani,92
Rihanna,Christina Aguilera,92
Rihanna,Jordin Sparks,92
Rihanna,Miley Cyrus,92
Rihanna,Sean Kingston,92
XXXTENTACION,Smokepurpp,92
XXXTENTACION,Ski Mask The Slump God,92
XXXTENTACION,Comethazine,92
XXXTENTACION,YBN Nahmir,92
XXXTENTACION,Lil Pump,92
